Statistical profiling result from /Users/colch/Downloads/temp/node-prof/jest/isolate-0x102802400-v8.log, (2056 ticks, 208 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     12    0.6%          /usr/lib/system/libsystem_pthread.dylib
      7    0.3%          /usr/lib/system/libsystem_malloc.dylib
      3    0.1%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     79    3.8%    3.9%  LazyCompile: *now perf_hooks.js:415:6
      7    0.3%    0.3%  LazyCompile: *runCycles /Users/colch/Downloads/temp/compare.js:25:19
      2    0.1%    0.1%  LazyCompile: *normalizeString path.js:57:25
      2    0.1%    0.1%  LazyCompile: *Module._resolveLookupPaths internal/modules/cjs/loader.js:378:38
      2    0.1%    0.1%  LazyCompile: *Module._findPath internal/modules/cjs/loader.js:212:28
      1    0.0%    0.0%  Script: ~<anonymous> _stream_duplex.js:1:11
      1    0.0%    0.0%  LazyCompile: ~now perf_hooks.js:140:13
      1    0.0%    0.0%  LazyCompile: *realpathSync fs.js:1622:40
      1    0.0%    0.0%  LazyCompile: *extname path.js:1374:28
      1    0.0%    0.0%  LazyCompile: *Module._nodeModulePaths internal/modules/cjs/loader.js:337:37
      1    0.0%    0.0%  Builtin: StringPrototypeReplace
      1    0.0%    0.0%  Builtin: MathRandom

 [C++]:
   ticks  total  nonlib   name
    635   30.9%   31.2%  T node::contextify::ContextifyContext::PropertyGetterCallback(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&)
    358   17.4%   17.6%  T node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     68    3.3%    3.3%  T v8::internal::Runtime_LoadPropertyWithInterceptor(int, v8::internal::Object**, v8::internal::Isolate*)
     28    1.4%    1.4%  T ___pthread_sigmask
     27    1.3%    1.3%  T v8::ArrayBuffer::GetContents()
     25    1.2%    1.2%  t _internal_catch_exception_raise_state_identity
     23    1.1%    1.1%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     21    1.0%    1.0%  t v8::internal::PropertyCallbackArguments::BasicCallNamedGetterCallback(void (*)(v8::Local<v8::Name>, v8::PropertyCallbackInfo<v8::Value> const&), v8::internal::Handle<v8::internal::Name>)
     19    0.9%    0.9%  T _mlockall
     18    0.9%    0.9%  t _uv__hrtime
     17    0.8%    0.8%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
     12    0.6%    0.6%  t void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
     10    0.5%    0.5%  T _faccessat
      9    0.4%    0.4%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.4%    0.4%  T v8::internal::Logger::ApiNamedPropertyAccess(char const*, v8::internal::JSObject*, v8::internal::Object*)
      8    0.4%    0.4%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.4%    0.4%  T node::contextify::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.3%    0.3%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      7    0.3%    0.3%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.3%    0.3%  t node::Hrtime(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.3%    0.3%  t _szone_malloc_should_clear
      7    0.3%    0.3%  T v8::ArrayBufferView::Buffer()
      6    0.3%    0.3%  T v8::internal::JSTypedArray::GetBuffer()
      6    0.3%    0.3%  T node::fs::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      6    0.3%    0.3%  T _getsockname
      5    0.2%    0.2%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
      5    0.2%    0.2%  t v8::internal::Heap::AllocateRaw(int, v8::internal::AllocationSpace, v8::internal::AllocationAlignment)
      5    0.2%    0.2%  T v8::internal::interpreter::BytecodeArrayWriter::EmitBytecode(v8::internal::interpreter::BytecodeNode const*)
      5    0.2%    0.2%  T v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::StringTableKey*)
      5    0.2%    0.2%  T v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::StepOrigin, v8::internal::WorklistToProcess)
      4    0.2%    0.2%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.2%    0.2%  t node::fs::FStat(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.2%    0.2%  t _mach_msg_destroy_port
      4    0.2%    0.2%  t __os_unfair_lock_lock_slow
      4    0.2%    0.2%  T v8::internal::TransitionArray::SearchDetails(int, v8::internal::PropertyKind, v8::internal::PropertyAttributes, int*)
      4    0.2%    0.2%  T v8::internal::StringTable::LookupStringIfExists_NoAllocate(v8::internal::String*)
      4    0.2%    0.2%  T v8::internal::Scanner::ScanIdentifierOrKeywordInner(v8::internal::Scanner::LiteralScope*)
      4    0.2%    0.2%  T v8::internal::Heap::AllocateFixedArrayWithFiller(v8::internal::Heap::RootListIndex, int, v8::internal::PretenureFlag, v8::internal::Object*)
      4    0.2%    0.2%  T _os_unfair_lock_assert_owner
      3    0.1%    0.1%  t void std::__1::__sort<v8::internal::EnumIndexComparator<v8::internal::NameDictionary>&, v8::base::AtomicElement<v8::internal::Smi*>*>(v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, v8::internal::EnumIndexComparator<v8::internal::NameDictionary>&)
      3    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ParseAssignmentExpression(bool, bool*)
      3    0.1%    0.1%  t v8::internal::JSObject::WriteToField(int, v8::internal::PropertyDetails, v8::internal::Object*)
      3    0.1%    0.1%  t v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::Resize(v8::base::DefaultAllocationPolicy)
      3    0.1%    0.1%  t v8::base::TemplateHashMapEntry<void*, void*>* v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert<v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert(void* const&, unsigned int, v8::base::DefaultAllocationPolicy)::'lambda'()>(void* const&, unsigned int, v8::base::TemplateHashMapImpl<void*, void*, v8::base::HashEqualityThenKeyMatcher<void*, bool (*)(void*, void*)>, v8::base::DefaultAllocationPolicy>::LookupOrInsert(void* const&, unsigned int, v8::base::DefaultAllocationPolicy)::'lambda'() const&, v8::base::DefaultAllocationPolicy)
      3    0.1%    0.1%  t unsigned int v8::internal::StringHasher::HashSequentialString<unsigned char>(unsigned char const*, int, unsigned int)
      3    0.1%    0.1%  t __os_unfair_lock_unlock_slow
      3    0.1%    0.1%  T v8::internal::compiler::GraphReducer::ReduceTop()
      3    0.1%    0.1%  T v8::internal::StackFrameIterator::StackFrameIterator(v8::internal::Isolate*, v8::internal::ThreadLocalTop*)
      3    0.1%    0.1%  T v8::internal::JsonParser<true>::ScanJsonString()
      3    0.1%    0.1%  T v8::internal::HashTable<v8::internal::StringTable, v8::internal::StringTableShape>::Rehash(v8::internal::StringTable*)
      3    0.1%    0.1%  T v8::internal::BuiltinDeserializer::ExtractCodeObjectSize(int)
      3    0.1%    0.1%  T v8::internal::Bitmap::Clear()
