Statistical profiling result from ./isolate-0x102801e00-v8.log, (766 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.8%          /usr/lib/system/libsystem_pthread.dylib
      1    0.1%          /usr/lib/system/libsystem_platform.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     84   11.0%   11.1%  LazyCompile: *runCycles /Users/colch/Downloads/temp/compare.js:32:20
      9    1.2%    1.2%  LazyCompile: *normalizeString path.js:57:25
      8    1.0%    1.1%  Stub: CallApiCallbackStub
      4    0.5%    0.5%  Builtin: LoadIC
      4    0.5%    0.5%  Builtin: Call_ReceiverIsAny
      3    0.4%    0.4%  LazyCompile: ~basename path.js:1296:30
      3    0.4%    0.4%  LazyCompile: ~Script vm.js:38:14
      3    0.4%    0.4%  LazyCompile: ~Module._nodeModulePaths internal/modules/cjs/loader.js:337:37
      3    0.4%    0.4%  Builtin: StringSubstring
      3    0.4%    0.4%  Builtin: InterpreterEntryTrampoline
      3    0.4%    0.4%  Builtin: CallFunction_ReceiverIsAny
      2    0.3%    0.3%  Stub: StringAddStub
      2    0.3%    0.3%  LazyCompile: ~tryModuleLoad internal/modules/cjs/loader.js:525:23
      2    0.3%    0.3%  LazyCompile: ~require internal/modules/cjs/helpers.js:17:19
      2    0.3%    0.3%  LazyCompile: ~fs.readFileSync fs.js:462:27
      2    0.3%    0.3%  LazyCompile: *Module._nodeModulePaths internal/modules/cjs/loader.js:337:37
      2    0.3%    0.3%  Builtin: StringEqual
      2    0.3%    0.3%  Builtin: StoreIC
      2    0.3%    0.3%  Builtin: FunctionPrototypeCall
      1    0.1%    0.1%  Stub: StoreFastElementStub
      1    0.1%    0.1%  Stub: CEntryStub
      1    0.1%    0.1%  Script: ~<anonymous> /Users/colch/Downloads/temp/node_modules/sshpk/lib/formats/pem.js:1:11
      1    0.1%    0.1%  LazyCompile: ~write console.js:141:15
      1    0.1%    0.1%  LazyCompile: ~validatePath internal/fs/utils.js:398:22
      1    0.1%    0.1%  LazyCompile: ~testClockAccuracy /Users/colch/Downloads/temp/node_modules/w3c-hr-time/lib/clock-is-accurate.js:7:27
      1    0.1%    0.1%  LazyCompile: ~runInThisContext vm.js:86:19
      1    0.1%    0.1%  LazyCompile: ~resolve path.js:1075:28
      1    0.1%    0.1%  LazyCompile: ~realpathSync fs.js:1622:40
      1    0.1%    0.1%  LazyCompile: ~parse /Users/colch/Downloads/temp/node_modules/cssom/lib/parse.js:9:29
      1    0.1%    0.1%  LazyCompile: ~normalizeString path.js:57:25
      1    0.1%    0.1%  LazyCompile: ~join native array.js:286:46
      1    0.1%    0.1%  LazyCompile: ~isUint8Array internal/util/types.js:28:22
      1    0.1%    0.1%  LazyCompile: ~isUint32 internal/fs/utils.js:74:18
      1    0.1%    0.1%  LazyCompile: ~isAbsolute path.js:1145:34
      1    0.1%    0.1%  LazyCompile: ~hrtime internal/process.js:103:35
      1    0.1%    0.1%  LazyCompile: ~getRunInContextArgs vm.js:146:29
      1    0.1%    0.1%  LazyCompile: ~fs.readSync fs.js:595:23
      1    0.1%    0.1%  LazyCompile: ~fs.openSync fs.js:549:23
      1    0.1%    0.1%  LazyCompile: ~fromString buffer.js:333:20
      1    0.1%    0.1%  LazyCompile: ~assertSize buffer.js:258:20
      1    0.1%    0.1%  LazyCompile: ~assertPath path.js:37:20
      1    0.1%    0.1%  LazyCompile: ~WriteStream tty.js:68:21
      1    0.1%    0.1%  LazyCompile: ~Module._resolveLookupPaths internal/modules/cjs/loader.js:378:38
      1    0.1%    0.1%  LazyCompile: ~Module._compile internal/modules/cjs/loader.js:639:37
      1    0.1%    0.1%  LazyCompile: ~InnerArrayJoin native array.js:273:24
      1    0.1%    0.1%  Builtin: StringPrototypeCharCodeAt
      1    0.1%    0.1%  Builtin: StringIndexOf
      1    0.1%    0.1%  Builtin: KeyedLoadIC
      1    0.1%    0.1%  Builtin: InterpreterPushUndefinedAndArgsThenCall
      1    0.1%    0.1%  Builtin: CallWithSpread
      1    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined

 [C++]:
   ticks  total  nonlib   name
    227   29.6%   29.9%  T node::contextify::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     54    7.0%    7.1%  T v8::ArrayBuffer::GetContents()
     26    3.4%    3.4%  t _internal_catch_exception_raise_state_identity
     21    2.7%    2.8%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
     17    2.2%    2.2%  t _uv__hrtime
     14    1.8%    1.8%  t node::Hrtime(v8::FunctionCallbackInfo<v8::Value> const&)
     12    1.6%    1.6%  T ___pthread_sigmask
      9    1.2%    1.2%  T node::contextify::ContextifyScript::RunInThisContext(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.9%    0.9%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
      7    0.9%    0.9%  T v8::internal::JSTypedArray::GetBuffer()
      6    0.8%    0.8%  t void node::Buffer::(anonymous namespace)::StringSlice<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.7%    0.7%  t node::GetBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.5%    0.5%  t void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
      4    0.5%    0.5%  t v8::internal::LookupIterator::State v8::internal::LookupIterator::LookupInRegularHolder<false>(v8::internal::Map*, v8::internal::JSReceiver*)
      4    0.5%    0.5%  T node::TTYWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.4%    0.4%  t v8::internal::Scavenger::ScavengeObject(v8::internal::HeapObject**, v8::internal::HeapObject*)
      3    0.4%    0.4%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.4%    0.4%  T v8::internal::Zone::New(unsigned long)
      3    0.4%    0.4%  T v8::internal::String::IsOneByteEqualTo(v8::internal::Vector<unsigned char const>)
      3    0.4%    0.4%  T v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::StepOrigin, v8::internal::WorklistToProcess)
      2    0.3%    0.3%  t v8::internal::ParserBase<v8::internal::Parser>::ParseBinaryExpression(int, bool, bool*)
      2    0.3%    0.3%  t v8::internal::(anonymous namespace)::ObjectBoilerplate::Create(v8::internal::Isolate*, v8::internal::Handle<v8::internal::HeapObject>, int, v8::internal::PretenureFlag)
      2    0.3%    0.3%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.3%    0.3%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.3%    0.3%  t _szone_malloc_should_clear
      2    0.3%    0.3%  t _mach_msg_destroy_port
      2    0.3%    0.3%  t __os_unfair_lock_lock_slow
      2    0.3%    0.3%  t ___find_warguments
      2    0.3%    0.3%  T v8::internal::TransitionsAccessor::Insert(v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Map>, v8::internal::SimpleTransitionFlag)
      2    0.3%    0.3%  T v8::internal::StringTable::LookupKey(v8::internal::Isolate*, v8::internal::StringTableKey*)
      2    0.3%    0.3%  T v8::internal::Scanner::Scan()
      2    0.3%    0.3%  T v8::internal::Runtime_LoadGlobalIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.3%    0.3%  T v8::internal::JSObject::MigrateToMap(v8::internal::Handle<v8::internal::JSObject>, v8::internal::Handle<v8::internal::Map>, int)
      2    0.3%    0.3%  T v8::internal::DescriptorArray::CopyFrom(int, v8::internal::DescriptorArray*)
      2    0.3%    0.3%  T node::contextify::ContextifyContext::MakeContext(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.3%    0.3%  T _renameat
      2    0.3%    0.3%  T _os_unfair_lock_unlock_no_tsd_4libpthread
      2    0.3%    0.3%  T _os_unfair_lock_assert_not_owner
      2    0.3%    0.3%  T _getsockname
      2    0.3%    0.3%  T _faccessat
      1    0.1%    0.1%  t void v8::internal::String::WriteToFlat<unsigned short>(v8::internal::String*, unsigned short*, int, int)
      1    0.1%    0.1%  t void v8::internal::Scanner::Advance<false, true>()
      1    0.1%    0.1%  t void std::__1::vector<v8::internal::Scope*, std::__1::allocator<v8::internal::Scope*> >::__push_back_slow_path<v8::internal::Scope* const&>(v8::internal::Scope* const&&&)
      1    0.1%    0.1%  t void std::__1::vector<v8::internal::Handle<v8::internal::Object>, v8::internal::ZoneAllocator<v8::internal::Handle<v8::internal::Object> > >::__push_back_slow_path<v8::internal::Handle<v8::internal::Object> const&>(v8::internal::Handle<v8::internal::Object> const&&&)
      1    0.1%    0.1%  t void std::__1::vector<v8::internal::Handle<v8::internal::Map>, std::__1::allocator<v8::internal::Handle<v8::internal::Map> > >::__push_back_slow_path<v8::internal::Handle<v8::internal::Map> >(v8::internal::Handle<v8::internal::Map>&&)
      1    0.1%    0.1%  t void std::__1::__sort<v8::internal::EnumIndexComparator<v8::internal::NameDictionary>&, v8::base::AtomicElement<v8::internal::Smi*>*>(v8::base::AtomicElement<v8::internal::Smi*>*, v8::base::AtomicElement<v8::internal::Smi*>*, v8::internal::EnumIndexComparator<v8::internal::NameDictionary>&)
      1    0.1%    0.1%  t v8::internal::interpreter::BytecodeGenerator::VisitNoStackOverflowCheck(v8::internal::AstNode*)
      1    0.1%    0.1%  t v8::internal::compiler::(anonymous namespace)::SourcePositionWrapper::Reduce(v8::internal::compiler::Node*)
      1    0.1%    0.1%  t v8::internal::RegExpKey::IsMatch(v8::internal::Object*)
      1    0.1%    0.1%  t v8::internal::PrototypeIterator::Advance()
      1    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ValidateLetPattern(bool*)
      1    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ParseConditionalExpression(bool, bool*)
      1    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ParseBlock(v8::internal::ZoneList<v8::internal::AstRawString const*>*, bool*)
      1    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ExpectSemicolon(bool*)
      1    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ArrowFormalParametersUnexpectedToken()
      1    0.1%    0.1%  t v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape>::Add(v8::internal::Handle<v8::internal::NameDictionary>, v8::internal::Handle<v8::internal::Name>, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyDetails, int*)
      1    0.1%    0.1%  t v8::internal::DescriptorArray::Append(v8::internal::Descriptor*)
      1    0.1%    0.1%  t v8::internal::AstRawStringInternalizationKey::IsMatch(v8::internal::Object*)
      1    0.1%    0.1%  t v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
      1    0.1%    0.1%  t std::__1::vector<std::__1::locale::facet*, std::__1::__sso_allocator<std::__1::locale::facet*, 28ul> >::deallocate()
      1    0.1%    0.1%  t std::__1::locale::__imp::__imp(std::__1::locale::__imp const&, std::__1::locale::__imp const&, int)
      1    0.1%    0.1%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      1    0.1%    0.1%  t non-virtual thunk to v8::internal::PointersUpdatingVisitor::VisitRootPointer(v8::internal::Root, char const*, v8::internal::Object**)
      1    0.1%    0.1%  t node::fs::FStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  t node::cares_wrap::(anonymous namespace)::ChannelWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  t _szone_batch_free
      1    0.1%    0.1%  t ___vfwscanf
      1    0.1%    0.1%  T void v8::internal::LookupIterator::Start<false>()
      1    0.1%    0.1%  T v8::internal::interpreter::ConstantArrayBuilder::ToFixedArray(v8::internal::Isolate*)
      1    0.1%    0.1%  T v8::internal::interpreter::ConstantArrayBuilder::Insert(v8::internal::AstRawString const*)
      1    0.1%    0.1%  T v8::internal::interpreter::ConditionalControlFlowBuilder::~ConditionalControlFlowBuilder()
      1    0.1%    0.1%  T v8::internal::interpreter::BytecodeRegisterOptimizer::CreateMaterializedEquivalent(v8::internal::interpreter::BytecodeRegisterOptimizer::RegisterInfo*)
      1    0.1%    0.1%  T v8::internal::interpreter::BytecodeGenerator::VisitForTest(v8::internal::Expression*, v8::internal::interpreter::BytecodeLabels*, v8::internal::interpreter::BytecodeLabels*, v8::internal::interpreter::BytecodeGenerator::TestFallthrough)
      1    0.1%    0.1%  T v8::internal::interpreter::BytecodeArrayWriter::Write(v8::internal::interpreter::BytecodeNode*)
